comment,language,confidence,likes,author,published_at,sentiment,sentiment_confidence
I love this so much ❤,en,22,0,@Ashley-i3b9k,2025-10-23T09:56:15Z,positive,0.9225881695747375
The scenes shift too fast. Can't see either of them too well with the color filter. The director can do better.,en,48,0,@milaccela,2025-10-23T09:24:09Z,negative,0.7280339598655701
Im not that easy to tame rose,en,13,1,@Christina-y5s,2025-10-23T07:19:50Z,negative,0.6783407926559448
song of the year,en,27,2,@AyeMor-k6f,2025-10-23T07:18:33Z,positive,0.6610515713691711
Today is my birthday pls pin,en,13,4,@blackpinkedtingYT,2025-10-23T06:13:02Z,neutral,0.6489324569702148
"I honestly loved this Blackpink comeback, this song is definitely one of the best songs released this year in kpop.",en,76,8,@forever-once-ot9,2025-10-23T05:12:51Z,positive,0.9311435222625732
the energy of this song is next level 😊,en,45,1,@nencysongs9264,2025-10-23T05:04:32Z,positive,0.9178124070167542
I love it,en,13,1,@qinquynh421,2025-10-23T04:10:54Z,positive,0.9171798825263977
this is the best song I heared from my Queens 😅❤❤,en,53,2,@HariyyaHassan,2025-10-23T03:40:37Z,positive,0.9155485033988953
Who wants blackpink to make a new song drop a like❤❤❤❤❤😊😊,en,35,2,@TaliyahBurton-e8y,2025-10-23T02:20:01Z,positive,0.5606855154037476
Im feeling so bad for jisoo that she  didn't get the screen time from starting 2016-2025 to end im sorry sorry blackpink but truth can't change 😢😢😢😢😢😢,en,42,1,@dream_demonandifferentdemon,2025-10-23T02:02:40Z,negative,0.9409703016281128
Love you so much 67,en,22,2,@CynthiaGoff-y5j,2025-10-23T00:39:02Z,positive,0.8444746732711792
It’s so funny how they’re shaking their heads 😂🎉❤❤❤,en,12,3,@sajkdhqw,2025-10-23T00:00:59Z,positive,0.8263610005378723
LOVE YOU BLACKPINK!!💕🖤💕🇧🇷,en,18,0,@littlebigpinkz,2025-10-22T22:29:20Z,positive,0.8758596777915955
LOVE IT LOVE IT LOVE IT,en,39,0,@jo7449,2025-10-22T22:05:43Z,positive,0.9082865118980408
Even a deaf person could tell how bad your music is,en,22,0,@randomguy123-du5,2025-10-22T20:39:55Z,negative,0.8837275505065918
YOU ARE AMAZİNG❤❤❤❤❤,en,13,1,@didemkorukcu4576,2025-10-22T18:25:04Z,positive,0.9057711958885193
The drop is insane. Just wow.,en,26,1,@mikelgheredero,2025-10-22T18:19:04Z,positive,0.7144723534584045
Being able to remain seated all the way through this song is one of the biggest achievements of my life!,en,76,0,@cmdrTremyss,2025-10-22T17:45:23Z,positive,0.9275096654891968
This song is amazing,en,31,1,@KatayoonAkbari-o5u,2025-10-22T17:30:12Z,positive,0.9245010018348694
I'm pretty sure that Blackpink's YouTube channel will pass 100M after their comeback in December.,en,12,9,@Peguu0909,2025-10-22T16:36:15Z,neutral,0.5787973403930664
Love it even though I hate the 🤬 my head stupidly thinks that it blends I love when they say jump and the people go crazy!!!!!!!!!!!!!,en,69,0,@roxannetaylor-lm5nu,2025-10-22T16:30:45Z,positive,0.6334139108657837
"They are very compatible, I am in love with their style",en,25,0,@LOLİDOROLİ,2025-10-22T16:29:32Z,positive,0.9081831574440002
I love you lisa❤❤,en,18,1,@arshsingh3656,2025-10-22T16:25:42Z,positive,0.860681414604187
ill get back the 8 November(on my bday) and see how many likes I got,en,26,2,@OmarDarken,2025-10-22T16:22:04Z,neutral,0.5284639000892639
Guys lets support blackpink jump song lets them reach to 1 billion pls guys pls,en,18,2,@Tista-t4,2025-10-22T15:39:32Z,positive,0.5456649661064148
Let's go for 300M and 400M on spotify !!,en,17,11,@dennisblinkkk,2025-10-22T15:30:53Z,positive,0.5252835154533386
Rose’s jacket looks same as rumi’s jacket anyways love u BLACK PINK ❤❤❤,en,13,2,@neelammehra5144,2025-10-22T15:14:25Z,positive,0.8132805824279785
1:27 that part made me so happy like...,en,21,1,@ShantishantiSuper,2025-10-22T14:07:30Z,positive,0.876598060131073
Blackpink save me bts is making me become a army  this is my last hope,en,43,1,@blackpinkj17,2025-10-22T13:57:20Z,positive,0.6747128963470459
"Hi guys, it’s me Tarushi. I actually didn’t inform you something. Did you sell KATSEYE named Sophia? She was from KATSEYE. I love BLACKPINK so much. You’re like the best. I hope you get my comments. I love Lisa. I actually look like Lisa too. I will send you a picture of me.❤",en,148,0,@draculatarun,2025-10-22T13:46:47Z,positive,0.5578714609146118
I’M SO HAPPY TO SEE YOU TOGETHER AGAIN!!! HOPE YOU RELEASE AN ALBUM SOON 🙏🙏🙏🙏🙏❤❤❤❤❤❤❤❤,en,35,1,@Blink.Kpopstan.Multistan,2025-10-22T13:33:49Z,positive,0.9290445446968079
"This isn't normal trend. To agressive for youngest, for sure. Too much  brain activity while watching this. Music also. Swearing, too. I don't think this shold be for younger then, lets say, 14 yo. And they do watch. New generations are deviated af.",en,82,0,@yumajana,2025-10-22T13:29:13Z,negative,0.9327415227890015
We miss you Blackpink we have one request to Rosé I hope you release the APT demo 1.0 it's beautiful the demo one,en,57,1,@andreaante5696,2025-10-22T13:24:10Z,negative,0.4567606747150421
what`s happening here and why it so cool?,en,17,0,@itTchin,2025-10-22T12:53:58Z,positive,0.4389626979827881
I Love you Rose,en,18,0,@Yuna-e2t,2025-10-22T12:52:00Z,positive,0.8651735186576843
"""I'm with all of my sisters"" 💅💅",en,17,3,@oncextokki,2025-10-22T11:20:34Z,positive,0.4875710904598236
You know we on a mission,en,17,2,@chaedzamugoni8429,2025-10-22T11:17:36Z,neutral,0.6547456979751587
