comment,language,confidence,likes,author,published_at,sentiment,sentiment_confidence
"Timestamp:
00:00 iPhone 17 SERIES! +pajak
01:15 Unboxing iPhone 17
03:00 IJO MAHAL
06:10 Saya suka Sage
07:05 Aksesoris cakep buat iPhone 17
09:35 Akhirnya ya, 120Hz & iOS 26!!!
12:45 Gini doang HEPI
14:10 vs iPhone 16
15:10 Bezel lebih TIPIS
15:35 Kamera selfie yang bagus?
17:30 Material + sampel foto
18:40 iPhone 17 PRO!
19:40 Orangenya agak...
21:50 Desain Tom & Jerry
24:30 Casing yang bikin salah paham
26:20 Kamera versus iPhone 16 Pro",id,53,1081,@GadgetIn,2025-09-22T00:59:23Z,neutral,0.43418434262275696
"Di lihat dari belakang, Kok jadi inget nokia n8 Symbian",id,26,0,@longlife1126,2025-10-24T17:51:03Z,neutral,0.5228301286697388
"Di tempat gua.. Yang pake iphon kebanyakan pegawai yang gajinya di bawah umr .. Klw pengusaha dan pembisnis yang udh punya mobil dan rumah mereka pake hp samsung dan ovvo,.. Gua iseng tanya kenapa gak beli iphone kan udh mampu.. Jawabanya tujuan mereka cari duit di dunia nyata bukan pamer hp yg setiap tahun, berlomba lomba ganti ke iphone terbaru.. 😂",id,95,0,@FarisLukman-zl7iz,2025-10-24T15:49:39Z,neutral,0.4102655053138733
"Iphone udh ke 17 aja ni. 
Perasaan gak ada perubahan besar dari tahun ke tahun.. Tpi harga bekasnya anjlok",id,39,0,@FarisLukman-zl7iz,2025-10-24T15:43:25Z,negative,0.6187047362327576
"PILIH YANG SERIES GENAP, Series Ganjil emang selalu cobaan, Iphone 12, 14, 16, Jangan ke 17 nanti kalau pengen upgrade ke Iphone 18",id,34,1,@rezwaazrililhamsiregar1253,2025-10-24T10:54:53Z,neutral,0.41016125679016113
"nonton dulu aja, gatau belinya kapan",id,13,0,@wahyurifai-f6f9k,2025-10-24T06:09:49Z,neutral,0.5969405770301819
"cuma mas david yg transfaran dalam menyampaikan fakta.
tengok in aja dulu vt nya , krn aku masih nganggur dan cm pake Realme 6 .
mau beli , belum ada duit soalnya",id,58,0,@ferryrisettoz5698,2025-10-24T04:03:18Z,negative,0.4647916555404663
"Kesan sy sih, biasa aja 😅",id,18,0,@inkdesign7,2025-10-23T13:19:06Z,neutral,0.40953946113586426
AI nya kenapa ga smooth ya .. heran hiks muka menyong2 semua :(,id,13,0,@MellaMorgen,2025-10-23T12:08:11Z,negative,0.9364781379699707
Kayaknya harus bertiga atau lebih orangnya koh david biar auto rotate,id,17,0,@asepbayupratama8913,2025-10-23T09:30:17Z,neutral,0.5082370042800903
UPDATE pemakaian IP 17 nya dong bang selama beberapa minggu gimanaaa,id,18,0,@Raaraaay,2025-10-22T20:41:05Z,neutral,0.7754102945327759
Jadi kesimpulannya mending 16 pro apa 17 pro ya bang,id,13,0,@belladwiamalia925,2025-10-22T14:44:46Z,neutral,0.7197685241699219
"Riview Apple Iphone Air dong,  desainnya bagus, pengen tau spesifikasi nya.",id,36,0,@Bellatrix-cho,2025-10-22T12:28:30Z,positive,0.600642740726471
"Iphone klu gak cepat inovasi...bisa senasib seperti Nokia...,itu hanya bom waktu",id,31,0,@irmamariam2541,2025-10-22T11:58:27Z,neutral,0.43260717391967773
"Aslinya iphone itu bisa banget lo bikin kamera yang langsung bagus bgt, tpi sama mereka di komersilkan dengan tipe tipenya, saya analogikan kamera pada iphone 11 harusnya bisa aj langsung bagus seperti iphone 17 tpi mereka simpan kemajuan tsb dan di terapkan pada iphone 17 spy bisa dimonopoli",id,125,0,@d_rger2058,2025-10-22T04:19:15Z,positive,0.5548362731933594
"Tolong sarannya🙏🏻 iphone sy 13 pro. Bagus ganti ke iphone 17pro atau google pixel 10 pro. Pemakaian biasa gak main game, tapi lebih focus ke photo krn suka traveling",id,53,0,@indynaqilah2156,2025-10-22T03:51:08Z,neutral,0.4672510325908661
Pertanyaannya mending stay di 16plus 128 atau upgrade ke 17basic 256 nih?,id,17,0,@fathonahannisa8292,2025-10-22T02:39:33Z,neutral,0.8490021228790283
