comment,language,confidence,likes,author,published_at
BLACKPINK IN YOUR AREA BEST GG 😍😍😍😍🖤🩷,en,13,1,@gael.tsss08,2025-10-23T22:34:04Z
this song is so catchy,en,31,0,@SuyoungHwang-r4b,2025-10-23T22:22:04Z
❤❤❤❤ I LIKE SO DES SON ❤❤❤❤,en,13,0,@hanantetouan6862,2025-10-23T22:05:07Z
so come up with me i'll take you high,en,21,0,@A_4iii,2025-10-23T20:20:07Z
"BLINK's Best Topics 2025❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥😜
→ JUMP → ME+YOU → Shut Down → THIS IS FOR → How You Like That → Strategy → BOOMBAYAH → 
This is a trend for BLACKPINK with TWICE!",en,96,1,@user-ywr3vxrt8emk5r,2025-10-23T20:05:21Z
Blackponk love you consert prosta wow❤,en,22,1,@GowherTajiyewa-d4q,2025-10-23T18:20:43Z
Who's ready for the comeback ?,en,13,1,@EdiBertolotti,2025-10-23T18:13:08Z
Love you,en,18,0,@Tt_06t,2025-10-23T18:02:07Z
"This feels so low effort,if you time traveled in the past and showed this to some blinks and told them it's a blackpink song in the future they would think you were insulting blackpink.",en,114,1,@bunnieexxq,2025-10-23T17:40:02Z
Blakpink in you area,en,13,0,@Fernandoliraislas,2025-10-23T17:26:19Z
0:18 Rosé is so pretty,en,13,0,@Chaelixღ,2025-10-23T16:07:42Z
"Love youuuuuuuuuuuuuuuuuuu blackpink 🖤🩷🖤🩷🖤🩷🖤🩷🖤🩷🖤🩷🖤🩷🖤🩷
Love from India 🇮🇳 ♥️",en,22,1,@MasirafirdusShaikh,2025-10-23T15:38:38Z
I LOVE YOU,en,18,0,@eesmaawpsn,2025-10-23T15:19:35Z
I listen to this song morning and evening it's perfect,en,40,2,@eesmaawpsn,2025-10-23T15:13:06Z
Blackpink the best kpop gang ever,en,18,1,@Kenza-fe9on,2025-10-23T15:04:57Z
This is why blackpink stay on top,en,22,1,@HyunjinsBuzztoHuzzCut,2025-10-23T14:54:42Z
😍🥰 Love this type of song! Blackpink  ❤,en,36,0,@pikupupu,2025-10-23T14:46:27Z
"1:06 that's very bad. Camera is focusing on every girl instead of jisso. Is she not the member of BLACKPINK? Sorry to say, but looks like even back dancers have more screen time than her. They are just 4 members and you are not able to show them all. 🤷🏻",en,130,1,@komalyadav-c4v,2025-10-23T14:23:43Z
Hello i like a music JUMP,en,22,1,@Mathias-t3z2t,2025-10-23T13:36:11Z
R&B next song with full of hignote for jisoo and lalisa,en,35,0,@DimaAlsaied,2025-10-23T12:39:29Z
🇰🇿Who is from Kazakhstan?,en,13,1,@Altayyaaa,2025-10-23T12:12:12Z
I love this so much ❤,en,22,0,@Ashley-i3b9k,2025-10-23T09:56:15Z
The scenes shift too fast. Can't see either of them too well with the color filter. The director can do better.,en,48,1,@milaccela,2025-10-23T09:24:09Z
Im not that easy to tame rose,en,13,2,@Christina-y5s,2025-10-23T07:19:50Z
song of the year,en,27,2,@AyeMor-k6f,2025-10-23T07:18:33Z
Today is my birthday pls pin,en,13,4,@blackpinkedtingYT,2025-10-23T06:13:02Z
"I honestly loved this Blackpink comeback, this song is definitely one of the best songs released this year in kpop.",en,76,14,@forever-once-ot9,2025-10-23T05:12:51Z
the energy of this song is next level 😊,en,45,1,@nencysongs9264,2025-10-23T05:04:32Z
I love it,en,13,1,@qinquynh421,2025-10-23T04:10:54Z
this is the best song I heared from my Queens 😅❤❤,en,53,2,@HariyyaHassan,2025-10-23T03:40:37Z
Who wants blackpink to make a new song drop a like❤❤❤❤❤😊😊,en,35,2,@TaliyahBurton-e8y,2025-10-23T02:20:01Z
Im feeling so bad for jisoo that she  didn't get the screen time from starting 2016-2025 to end im sorry sorry blackpink but truth can't change 😢😢😢😢😢😢,en,42,1,@dream_demonandifferentdemon,2025-10-23T02:02:40Z
Love you so much 67,en,22,2,@CynthiaGoff-y5j,2025-10-23T00:39:02Z
It’s so funny how they’re shaking their heads 😂🎉❤❤❤,en,12,3,@sajkdhqw,2025-10-23T00:00:59Z
LOVE YOU BLACKPINK!!💕🖤💕🇧🇷,en,18,0,@littlebigpinkz,2025-10-22T22:29:20Z
LOVE IT LOVE IT LOVE IT,en,39,0,@jo7449,2025-10-22T22:05:43Z
Even a deaf person could tell how bad your music is,en,22,0,@randomguy123-du5,2025-10-22T20:39:55Z
YOU ARE AMAZİNG❤❤❤❤❤,en,13,1,@didemkorukcu4576,2025-10-22T18:25:04Z
The drop is insane. Just wow.,en,26,1,@mikelgheredero,2025-10-22T18:19:04Z
Being able to remain seated all the way through this song is one of the biggest achievements of my life!,en,76,0,@cmdrTremyss,2025-10-22T17:45:23Z
This song is amazing,en,31,1,@KatayoonAkbari-o5u,2025-10-22T17:30:12Z
I'm pretty sure that Blackpink's YouTube channel will pass 100M after their comeback in December.,en,12,12,@Peguu0909,2025-10-22T16:36:15Z
Love it even though I hate the 🤬 my head stupidly thinks that it blends I love when they say jump and the people go crazy!!!!!!!!!!!!!,en,69,0,@roxannetaylor-lm5nu,2025-10-22T16:30:45Z
"They are very compatible, I am in love with their style",en,25,0,@LOLİDOROLİ,2025-10-22T16:29:32Z
I love you lisa❤❤,en,18,1,@arshsingh3656,2025-10-22T16:25:42Z
ill get back the 8 November(on my bday) and see how many likes I got,en,26,2,@OmarDarken,2025-10-22T16:22:04Z
Guys lets support blackpink jump song lets them reach to 1 billion pls guys pls,en,18,2,@Tista-t4,2025-10-22T15:39:32Z
Let's go for 300M and 400M on spotify !!,en,17,11,@dennisblinkkk,2025-10-22T15:30:53Z
Rose’s jacket looks same as rumi’s jacket anyways love u BLACK PINK ❤❤❤,en,13,2,@neelammehra5144,2025-10-22T15:14:25Z
1:27 that part made me so happy like...,en,21,1,@ShantishantiSuper,2025-10-22T14:07:30Z
Blackpink save me bts is making me become a army  this is my last hope,en,43,1,@blackpinkj17,2025-10-22T13:57:20Z
"Hi guys, it’s me Tarushi. I actually didn’t inform you something. Did you sell KATSEYE named Sophia? She was from KATSEYE. I love BLACKPINK so much. You’re like the best. I hope you get my comments. I love Lisa. I actually look like Lisa too. I will send you a picture of me.❤",en,148,0,@draculatarun,2025-10-22T13:46:47Z
I’M SO HAPPY TO SEE YOU TOGETHER AGAIN!!! HOPE YOU RELEASE AN ALBUM SOON 🙏🙏🙏🙏🙏❤❤❤❤❤❤❤❤,en,35,1,@Blink.Kpopstan.Multistan,2025-10-22T13:33:49Z
"This isn't normal trend. To agressive for youngest, for sure. Too much  brain activity while watching this. Music also. Swearing, too. I don't think this shold be for younger then, lets say, 14 yo. And they do watch. New generations are deviated af.",en,82,0,@yumajana,2025-10-22T13:29:13Z
We miss you Blackpink we have one request to Rosé I hope you release the APT demo 1.0 it's beautiful the demo one,en,57,1,@andreaante5696,2025-10-22T13:24:10Z
what`s happening here and why it so cool?,en,17,0,@itTchin,2025-10-22T12:53:58Z
I Love you Rose,en,18,0,@Yuna-e2t,2025-10-22T12:52:00Z
"""I'm with all of my sisters"" 💅💅",en,17,3,@oncextokki,2025-10-22T11:20:34Z
You know we on a mission,en,17,2,@chaedzamugoni8429,2025-10-22T11:17:36Z
Is anyone still here in 2030 ?🙃🙂,en,13,2,@Topukhan-ew2ze,2025-10-22T11:17:33Z
rosé is in is a chameleon because i didn't see when the song was getting started,en,48,0,@cristinafaustino4987,2025-10-22T10:29:50Z
I love you 💖 black pink ❤️🩷,en,18,0,@tahirfarooq8586,2025-10-22T10:00:46Z
Fr all the comments are just so true blink forever🖤🩷,en,21,1,@abh1shekm,2025-10-22T09:59:42Z
Excellent job men for making the AI.,en,13,0,@HouseDeVineDJs,2025-10-22T09:55:52Z
"Listen, maybe it's just me, but it seems like idols are changing the way people view them in Asian countries through this song. They have the most fanatical fans, and they issued a challenge, saying, ""We are the main ones here and we don't have to explain our actions (any actions, stalking, bullying for ""wrong"" actions), and that's worth a lot!",en,150,0,@vector9963,2025-10-22T08:20:28Z
Wow Blackpink you really know how to hipe me up😂😂😂,en,26,0,@Goldenkitty-ki1,2025-10-22T08:19:26Z
"Super song ,I ❤ you",en,18,0,@Funnypomeranian,2025-10-22T07:48:05Z
"Blinks do you want to collaborate with TXT's fans on Mama awards voting? We can vote for Blackpink, and you for TXT .Please answer me what do you think about this",en,78,0,@moa_tubatu_love,2025-10-22T07:45:56Z
hola people love the song,en,27,1,@Justthrivingdaily,2025-10-22T07:05:58Z
I love you blackpink❤,en,18,0,@IcemieYimyai,2025-10-22T04:28:05Z
They are all the best and energetic and shining,en,44,3,@CixiXi-g9t,2025-10-22T03:23:33Z
They are my favorite group,en,12,5,@carloshernanlagosmora443,2025-10-22T01:39:08Z
I Love You BLACKPENE 💘💗♥️💝💖💓💞💕🥰😍😚,en,18,2,@SukkurMdSemol,2025-10-22T00:38:09Z
"Woah, Blackpink is at 99.1 million subscribers..!!
If we could get them to 100 MILLION subscribers before their next comback it would be cool😊",en,30,7,@anarex8148,2025-10-22T00:09:52Z
I love it,en,13,2,@miguxz_0,2025-10-22T00:08:26Z
"Cool, love it❤",en,13,5,@OlgaIzmir0735,2025-10-21T22:16:31Z
this mv is so weird I love it😭,en,35,5,@zen-ovii,2025-10-21T22:05:59Z
This is me at Rock concerts. Hahaha. I love them!,en,35,0,@ZombieMan1997,2025-10-21T20:34:09Z
"ı m med at my friend  of 8 years just for you . a group called MANİFEST gave up on noble people like you,yet day promised me to be blink forever . she is a lear. ı m angry with here and ı will never make pace",en,111,0,@bilinmeyen-un6ud,2025-10-21T20:19:10Z
I love you❤,en,18,0,@SandSand-b5b,2025-10-21T19:47:44Z
Your biggest fan please pin me I am in India street number 2 rajapuri Uttam Nagar Delhi come to my English biggest fan,en,21,2,@brotherofnotch129,2025-10-21T18:26:11Z
Omg in love with them,en,17,7,@acanjana,2025-10-21T18:06:39Z
This song is awesome xxooxx ❤,en,27,2,@minatran3652,2025-10-21T17:56:48Z
I thought this song was kpdh,en,22,1,@jeremypolanco03,2025-10-21T17:31:55Z
My. Favorite song ❤,en,13,2,@andreidanes6989,2025-10-21T16:12:59Z
I love you,en,18,1,@Lozanhmm,2025-10-21T15:49:40Z
Jennie and lisa rap is just perfect,en,22,2,@بلينك_مونستي_تحب_كل_الكيبوب,2025-10-21T15:32:29Z
Love this song you should listen to it,en,49,4,@بلينك_مونستي_تحب_كل_الكيبوب,2025-10-21T15:32:06Z
Bpckpink in the nere arrrrr,en,13,0,@Vera-jd2vk,2025-10-21T15:17:56Z
Blinks!!! This one is masterpiece ❤❤,en,18,0,@rmdnafinafi,2025-10-21T14:52:48Z
I'm a blink and my one of the life goal is meeting BLACKPINK.❤❤❤,en,44,0,@yashikajayaram3d891,2025-10-21T14:44:56Z
On your debut i was turning one and i am in nigeria and from nigeria,en,34,1,@elizabethogiri-j2x,2025-10-21T14:32:21Z
"""Dear Lisa,
We all in Sri Lanka are big fans of you and BLACKPINK! We would be so happy if you could visit Sri Lanka someday. Please come and bless us with your amazing performance! We love you! 💖):",en,87,0,@chamothmihiranga5126,2025-10-21T14:19:27Z
I turks plz ❤ı love you Black pink🎉🎉❤,en,18,0,@Sevimdyg,2025-10-21T13:12:39Z
JISOO confirms that BLACK PIИК. are going to have a December comeback and she's going to record an M/V,en,51,23,@tulinyildirim1779,2025-10-21T13:00:10Z
yg using ai for a blackpink mv is giving low budget 😭,en,17,2,@usernames-j4z,2025-10-21T12:32:11Z
I.      Love ❤️ this         Song            So.      much.,en,31,1,@AlexanderGonzalez-vy7fn,2025-10-21T12:10:24Z
🎉l       Love.           The.           Sog 👌,en,18,1,@AlexanderGonzalez-vy7fn,2025-10-21T12:03:05Z
