comment,language,confidence,likes,author,published_at
Yg makan uang pajak. Arogan sama yg bayar pajak. Dimana malu nya. Halal apa haram uang gaji nya,id,26,0,@MATITUPASTI,2025-09-15T07:19:32Z
Ingin ketemu dgn wakil rakyat saja sulit utk apa kita punya wakil rakyat yg terpilih... Negara macam apa ini,id,25,0,@SaipulAmri-gy5cx,2025-09-12T00:44:13Z
"Jadi public enemy kan.. salah sendiri dibayar dr pajak negara aja bukannya mengayomi malah arogan dan songong.. dan dlm keadaan seperti ini seperti bom waktu, massa udah terlalu geram",id,62,0,@aryantoyogi6670,2025-09-10T10:41:15Z
Ini semuah bukan sajah yg harus di salah kan pendemo tapi rayat pun bisa melihat dengan org pemerihaan tr kadang rayat kecil banyak yg tida br kecukupan bah kan sulit untuk makan pun eeh mslah jonged2 pasti mengudang masalah bagi rayat dan mahasiswa  itu yg saya pr hati kan jadi lah bgini😢😢😢😢,id,70,0,@InfinikInfinik-w3e8m,2025-09-07T10:07:18Z
"Hai para penjabat 
Kalian masih mau klo rakyat bersatu melawan kalian..

Ingat tanpa rakyat ada tidak ada ...

Maka klo rakyat bersatu melawan kamu anda tidak lah berdaya...",id,49,0,@YouTubearil-waruwu,2025-09-05T19:00:55Z
"KLO berdemo di jaman Jokowi, ogt DPR mendapat kn uang banyak di jaman Jokowi, , pak Prabowo menanggung hutang pak Joko skrg ini. GK kasihan kalian",id,25,0,@EkiAcik,2025-09-05T12:57:43Z
haha lawak tengok orang atas marah sebab harta diorang kena sentuh oleh rakyat bawah . dah harta tu bukan datang dari langit boss . itu titik peluh dari rakyat bawah jugak kau curi . pastu ada hati nak naikkan cukai ngan gaji ? haha buat lawak ini orang . kasi sedar sikit diorang semua tu,id,60,0,@moopmeep5094,2025-09-05T02:18:53Z
Kalian semua di gaji sama masyarakat apa pemerinta dn aparat sd gk punya malu,id,16,0,@NURUL_777-14,2025-09-04T16:20:34Z
nti klw demo lg harus bwa tangga biar bisa naik ke gedung dpr 😅,id,13,0,@tetehocha9975,2025-09-04T13:24:18Z
DPR DPR kalo sudah cape itu diam lagi Dilanin marah marah🤣🤣🤣,id,36,0,@VivoBrooo,2025-09-04T11:14:38Z
pertanda tsunami besar akan datang dan di lanjut nya kiamat besar semakin dekat ...,id,26,0,@AdulStres,2025-09-03T23:22:16Z
Hama tikus kok di lindungi😂,id,13,0,@Riawanfishing,2025-09-03T12:19:45Z
"Kenapa polis yg di serang? SEPATUTNYA YG KORUPSI  DI CARI RUMAHNYA DAN SERET KE TIANG LAMPU, IKAT SAMBIL BUAT UCAPAN PENJELASAN KEPADA PEMIMPIN UTAMA.",id,34,0,@Atak1964,2025-09-03T09:45:56Z
"Anda memancing masarakat, ini akibatnya, itu belum seberapa,",id,18,0,@aswan7222,2025-09-03T06:27:07Z
Detik detik polisi ingin tidak di hargai oleh Rakyat,id,13,0,@NurdinAja-dl7vg,2025-09-02T18:47:42Z
