comment,language,confidence,likes,author,published_at
"Timestamp:
00:00 iPhone 17 SERIES! +pajak
01:15 Unboxing iPhone 17
03:00 IJO MAHAL
06:10 Saya suka Sage
07:05 Aksesoris cakep buat iPhone 17
09:35 Akhirnya ya, 120Hz & iOS 26!!!
12:45 Gini doang HEPI
14:10 vs iPhone 16
15:10 Bezel lebih TIPIS
15:35 Kamera selfie yang bagus?
17:30 Material + sampel foto
18:40 iPhone 17 PRO!
19:40 Orangenya agak...
21:50 Desain Tom & Jerry
24:30 Casing yang bikin salah paham
26:20 Kamera versus iPhone 16 Pro",id,53,1081,@GadgetIn,2025-09-22T00:59:23Z
"Di lihat dari belakang, Kok jadi inget nokia n8 Symbian",id,26,0,@longlife1126,2025-10-24T17:51:03Z
"Di tempat gua.. Yang pake iphon kebanyakan pegawai yang gajinya di bawah umr .. Klw pengusaha dan pembisnis yang udh punya mobil dan rumah mereka pake hp samsung dan ovvo,.. Gua iseng tanya kenapa gak beli iphone kan udh mampu.. Jawabanya tujuan mereka cari duit di dunia nyata bukan pamer hp yg setiap tahun, berlomba lomba ganti ke iphone terbaru.. 😂",id,95,0,@FarisLukman-zl7iz,2025-10-24T15:49:39Z
"Iphone udh ke 17 aja ni. 
Perasaan gak ada perubahan besar dari tahun ke tahun.. Tpi harga bekasnya anjlok",id,39,0,@FarisLukman-zl7iz,2025-10-24T15:43:25Z
"PILIH YANG SERIES GENAP, Series Ganjil emang selalu cobaan, Iphone 12, 14, 16, Jangan ke 17 nanti kalau pengen upgrade ke Iphone 18",id,34,1,@rezwaazrililhamsiregar1253,2025-10-24T10:54:53Z
"nonton dulu aja, gatau belinya kapan",id,13,0,@wahyurifai-f6f9k,2025-10-24T06:09:49Z
"cuma mas david yg transfaran dalam menyampaikan fakta.
tengok in aja dulu vt nya , krn aku masih nganggur dan cm pake Realme 6 .
mau beli , belum ada duit soalnya",id,58,0,@ferryrisettoz5698,2025-10-24T04:03:18Z
"Kesan sy sih, biasa aja 😅",id,18,0,@inkdesign7,2025-10-23T13:19:06Z
AI nya kenapa ga smooth ya .. heran hiks muka menyong2 semua :(,id,13,0,@MellaMorgen,2025-10-23T12:08:11Z
Kayaknya harus bertiga atau lebih orangnya koh david biar auto rotate,id,17,0,@asepbayupratama8913,2025-10-23T09:30:17Z
UPDATE pemakaian IP 17 nya dong bang selama beberapa minggu gimanaaa,id,18,0,@Raaraaay,2025-10-22T20:41:05Z
Jadi kesimpulannya mending 16 pro apa 17 pro ya bang,id,13,0,@belladwiamalia925,2025-10-22T14:44:46Z
"Riview Apple Iphone Air dong,  desainnya bagus, pengen tau spesifikasi nya.",id,36,0,@Bellatrix-cho,2025-10-22T12:28:30Z
"Iphone klu gak cepat inovasi...bisa senasib seperti Nokia...,itu hanya bom waktu",id,31,0,@irmamariam2541,2025-10-22T11:58:27Z
"Aslinya iphone itu bisa banget lo bikin kamera yang langsung bagus bgt, tpi sama mereka di komersilkan dengan tipe tipenya, saya analogikan kamera pada iphone 11 harusnya bisa aj langsung bagus seperti iphone 17 tpi mereka simpan kemajuan tsb dan di terapkan pada iphone 17 spy bisa dimonopoli",id,125,0,@d_rger2058,2025-10-22T04:19:15Z
"Tolong sarannya🙏🏻 iphone sy 13 pro. Bagus ganti ke iphone 17pro atau google pixel 10 pro. Pemakaian biasa gak main game, tapi lebih focus ke photo krn suka traveling",id,53,0,@indynaqilah2156,2025-10-22T03:51:08Z
Pertanyaannya mending stay di 16plus 128 atau upgrade ke 17basic 256 nih?,id,17,0,@fathonahannisa8292,2025-10-22T02:39:33Z
"Sebagai user iphone, model seri 17 pro/promax kurang banget. Model 17 basic sama Air masih bisa diterima lah desainnya.",id,22,2,@UdangPresto-v9h,2025-10-22T00:48:25Z
Kalo iphone itu lbh bagus series ganjil apa genap guys?,id,31,0,@rizkanaufalianzahra1171,2025-10-21T23:23:23Z
Mnurt sy bentuk 17 pro dari blkang terkesan kurg wow..malah nampak  jadul..nampak dri muka bang david kecewa dgn prodak baru ini😂,id,13,0,@arhun310,2025-10-21T16:47:27Z
"iOS 26 update an sampah, ganggu koneksi mau update karna masalah koneksi jadi puyeng 7 keliling",id,18,0,@Chibimaru2604,2025-10-20T22:56:39Z
"Bang david, saran dong travel adaptpr yang bagus dan aman untuk iPhone 17? Dan berapa watt. Trimksh.",id,49,1,@nikodemusb,2025-10-20T14:19:03Z
Bang.. Sudah 1 bulan video ini? Ga buat review nya kah?,id,36,0,@imulyadi2443,2025-10-20T14:08:24Z
"Hijau miskin? b oung seprei pung wrn ijo kek tu handpone harga Rp.105.000,- mahal ko murah? seprei miskin ko kaya? 😂 br dengar ini istilah dr ini konten e... ""hijau miskin"" br gbr tembok org pu rumah le... 😭💔",id,18,0,@sapimae3486,2025-10-20T13:40:45Z
"Bukannya gak mampu beli ip 17, soalnya tanggung baru minggu kemaren saya beli infinix hot 60i 😢",id,13,0,@tauruscell,2025-10-20T13:22:10Z
Jumlah yang kamu bayar kalau tukar duit Malaysia jumlah harga setiap iPhone campur pajak dekat RM9000..Mahal Oo 😂,id,17,1,@DarkSoul076,2025-10-20T10:49:20Z
Sebulan 3jt view 😌 90% kaum bawah juga pasti. Yang kebelet beli iPhone yang BELUM kesampaian. iPhone 17 series tuh worth to buy sih di akhir tahun 2030,id,40,0,@ALi_MuFiD_M2Chip,2025-10-20T05:44:04Z
